emailId,senderId,recipientId,subject,content,sendTime,status,hasAttachment
email_1703123456789_123,1234567,1222222,关于课程作业的讨论,你好，我想和你讨论一下计算机组成原理的作业，你觉得第三章的练习题怎么样？我们可以在图书馆一起学习。,2024-01-15 14:30:00,SENT,false
email_1703123456790_456,1222222,1234567,回复：课程作业讨论,你好，我也觉得第三章的题目比较难，特别是关于CPU指令执行的部分。明天下午2点在图书馆三楼见面怎么样？,2024-01-15 15:45:00,READ,false
email_1703123456791_789,2345678,2222222,数学建模竞赛邀请,你好，我们正在组队参加数学建模竞赛，听说你的数学基础很好，要不要一起参加？比赛时间是下个月。,2024-01-16 09:20:00,SENT,false
email_1703123456792_012,2222222,2345678,回复：数学建模竞赛,你好，我很感兴趣！不过我担心自己的编程能力不够强，你觉得我可以胜任吗？,2024-01-16 10:15:00,SENT,false
email_1703123456793_345,1234567,2345678,图书馆借书提醒,你好，你借的《高等数学》已经到期了，记得及时归还哦，不然会有逾期费用。,2024-01-17 11:30:00,READ,false
email_1703123456794_678,1222222,2222222,社团活动通知,你好，我们文学社下周有一个诗歌朗诵活动，你要不要参加？时间地点我会再通知。,2024-01-18 16:20:00,SENT,false
email_1703123456795_901,2345678,1234567,学习资料分享,你好，我整理了一些数据结构的学习资料，已经发到群里了，你可以看看有没有用。,2024-01-19 13:45:00,READ,false
email_1703123456796_234,2222222,1222222,回复：社团活动,你好，我很想参加诗歌朗诵活动！请问具体是什么时候？需要准备什么吗？,2024-01-19 14:30:00,SENT,false
email_1703123456797_567,1234567,2222222,课程表咨询,你好，我想了解一下文学院的课程安排，下学期想选修一些文学类的课程。,2024-01-20 10:00:00,SENT,false
email_1703123456798_890,1222222,2345678,实验报告讨论,你好，我们的电子电路实验报告写好了吗？明天就要交了，我们赶紧讨论一下。,2024-01-21 19:30:00,SENT,false
email_1703123456799_123,2345678,1222222,回复：实验报告,你好，我已经写好了，但是有些地方不太确定，我们晚上8点在实验室见面讨论吧。,2024-01-21 20:15:00,READ,false
email_1703123456800_456,2222222,1234567,回复：课程表咨询,你好，文学院的课程安排我发给你了，你可以看看哪些课程比较适合你。,2024-01-22 11:20:00,READ,false
email_1703123456801_789,1234567,1222222,考试复习计划,你好，期末考试快到了，我们一起制定一个复习计划吧，互相督促学习。,2024-01-23 15:30:00,SENT,false
email_1703123456802_012,1222222,1234567,回复：考试复习,你好，好主意！我们可以每天在图书馆一起复习，互相帮助。,2024-01-23 16:45:00,SENT,false
email_1703123456803_345,2345678,2222222,寒假计划,你好，寒假你有什么计划吗？我想去一些地方旅游，要不要一起？,2024-01-24 12:00:00,SENT,false
email_1703123456804_678,2222222,2345678,回复：寒假计划,你好，我也想去旅游！你有什么好的目的地推荐吗？,2024-01-24 13:30:00,SENT,false
email_1703123456805_901,1234567,2345678,学习小组邀请,你好，我们成立了一个学习小组，主要讨论数学和计算机相关的问题，你要不要加入？,2024-01-25 14:20:00,READ,false
email_1703123456806_234,1222222,2222222,文学创作分享,你好，我写了一首小诗，想请你帮我看看，给一些建议。,2024-01-26 16:30:00,SENT,false
email_1703123456807_567,2345678,1234567,回复：学习小组,你好，我很感兴趣！什么时候开始？需要准备什么吗？,2024-01-26 17:15:00,SENT,false
email_1703123456808_890,2222222,1222222,回复：文学创作,你好，我很乐意帮你看看！你的诗写得很好，我建议在第二段可以再深化一下情感表达。,2024-01-27 10:30:00,READ,false
email_1703123456809_123,1234567,2222222,课程推荐,你好，我选修了一门《中国古典文学》，老师讲得很好，推荐你也选一下。,2024-01-28 11:45:00,SENT,false
email_1703123456810_456,1222222,2345678,实验设备借用,你好，我们实验室的设备不够用，能不能借用一下你们实验室的示波器？,2024-01-29 15:20:00,SENT,false
email_1703123456811_789,2345678,1222222,回复：设备借用,你好，当然可以！明天上午9点来拿吧，记得带上学生证。,2024-01-29 16:00:00,READ,false
email_1703123456812_012,2222222,1234567,回复：课程推荐,你好，谢谢推荐！我已经选上了，期待一起上课。,2024-01-30 09:30:00,SENT,false
email_1703123456813_345,1234567,1222222,项目合作邀请,你好，我有一个编程项目需要合作，是关于数据库设计的，你要不要一起做？,2024-01-31 14:00:00,SENT,false
email_1703123456814_678,1222222,1234567,回复：项目合作,你好，我很感兴趣！什么时候开始？需要什么技术栈？,2024-01-31 15:30:00,SENT,false
email_1703123456815_901,2345678,2222222,学习心得分享,你好，我最近在学习微积分，有一些心得想和你分享，特别是关于极限的概念。,2024-02-01 13:20:00,SENT,false
